car;area;mun
 RN-2406106-4883A91F5F4C497DA18506CB2BFBFC3C;234045;Jucurutu
 RN-2406106-759E7CCD3EEC4127BCE7015E4891042E;956852;Jucurutu
 RN-2406106-D1DCA776854C4D619926B4A7C70FACD3;436428;Jucurutu
 RN-2406106-FA01DE594EA34044BCD183D6B080798F;29777;Jucurutu
 RN-2406106-049DF7DF7C1243A39F56198CE6443B1C;41323;Jucurutu
 RN-2406106-B9A99179460F47308465F741B796F8CA;52199;Jucurutu
 RN-2406106-0FB14C964609400F90A0CD886F6877FB;22083;Jucurutu
 RN-2406106-3AA6E3A6A13349AA931025A660E1B9EB;1044851;Jucurutu
 RN-2406106-54831D8D43B44A878FF793D1649F1D14;163326;Jucurutu
 RN-2406106-10B66283B52742609F66DD4ED14A6675;34363;Jucurutu
 RN-2406106-CD23F67BB93C48E3B647847579E48FEB;87886;Jucurutu
 RN-2406106-F4A2712A756D4107BF57AB52E99DBAC8;884971;Jucurutu
 RN-2406106-ACCA63BBC5D04BE2BC0BA3E05119A04E;14968;Jucurutu
 RN-2406106-29E8460AA49A45339F5698336B183232;811769;Jucurutu
 RN-2406106-AB7BA19BD3884D32AE7203E9E93176A0;6570440;Jucurutu
 RN-2406106-1D94E030D30C485D877F4137D0786409;34129;Jucurutu
 RN-2406106-9440DE22012641E3842B594FBD224E83;17158;Jucurutu
 RN-2406106-AAE85DF3EB3B4A708C04A317ECF5A0E5;154789;Jucurutu
 RN-2406106-E584A03427B1476C926A5BD082BDB72D;386903;Jucurutu
 RN-2406106-B7A8F2E09AEF49759676BB5B6C08B5A5;0.6933;Jucurutu
 RN-2406106-08F4AFAEE9974143B3B756ABFB78810F;494411;Jucurutu
 RN-2406106-A3AC17B7AA9F4A93B4124E4120EFAD9C;239811;Jucurutu
 RN-2406106-0F735D392AD746BCB986B5AA3B8A72FA;815525;Jucurutu
 RN-2406106-6A6777305C814E3EACA0E48A3BBB1963;60448;Jucurutu
 RN-2406106-281C245C66A843F690E77FB50997D07C;34940;Jucurutu
 RN-2406106-7457AF90385F4730904A8AC913970CAC;43547;Jucurutu
 RN-2406106-51391D3C6558499F8C0CEB783C14439C;0.4219;Jucurutu
 RN-2406106-94A7B4F5AACF446BA1C19AA193C3528E;119111;Jucurutu
 RN-2406106-07BEC05779614DAA89C170DC282BF6D5;53922;Jucurutu
 RN-2406106-3D6959DC731D4273A542AAFC171F0D0C;6935805;Jucurutu
 RN-2406106-D2E4A6817E1447248B757F7EF42E85AB;6935812;Jucurutu
 RN-2406106-DB5BC29FD2324C06A506FD8C12B222D1;577653;Jucurutu
 RN-2406106-0E74E8ED8A1F4916ACFADA9AADA65A67;1013092;Jucurutu
 RN-2406106-A82FCC547C1D4924B78B2E502E8B4082;14513;Jucurutu
 RN-2406106-4762DFCAFCDE46C499537BC23AEE6D6B;19586;Jucurutu
 RN-2406106-1E587277664C40D2A04AF8C790C2C5E5;98259;Jucurutu
 RN-2406106-6250136AA6504EE6BD68C631E159A3EB;869134;Jucurutu
 RN-2406106-CC9A65C5B5D74D9BB2BA1CCAA278CAA8;15673;Jucurutu
 RN-2406106-8DAB69509BE14027A921CE5245D1586E;0.2806;Jucurutu
 RN-2406106-2F54E9B5F8154E7094E8844864FF1628;76980;Jucurutu
 RN-2406106-BB16202981E2484C8B5CECAA73733A4A;0.2877;Jucurutu
 RN-2406106-E411EABAA42C4043AF426057E3B1EF17;0.1061;Jucurutu
 RN-2406106-C6069A624D1B4BB5BFB194BB9CB26308;0.2081;Jucurutu
 RN-2406106-8E892BA18EEA4D29A5883F16E00BA57A;0.5088;Jucurutu
 RN-2406106-4515DEAD0F7B40B29FB31E97CAA31D8B;0.2325;Jucurutu
 RN-2406106-BCC7861642514AE6A03BC4246817DEC0;52122;Jucurutu
 RN-2406106-736FF0F8F8C04236BA1AD02AAA47E416;0.0393;Jucurutu
 RN-2406106-44D1941C7FAF4FAC8CC738EA6599EE49;0.2579;Jucurutu
 RN-2406106-491A049C61C14F0688CD04A498D80382;2247261;Jucurutu
 RN-2406106-98BB898A0E9C432AB16B040A062BEFFB;281486;Jucurutu
 RN-2406106-9772BEE484B44A87BD9543C712302EC7;121202;Jucurutu
 RN-2406106-6749ECCBE2B34EC0851782C7063DC951;58095;Jucurutu
 RN-2406106-31798F23542E441A99ADCD8A04658657;34066;Jucurutu
 RN-2406106-4A6553C0828641F5A11F3FE44F917592;0.1302;Jucurutu
 RN-2406106-7469260AD7A843AF99DE1A9D1C360190;41375;Jucurutu
 RN-2406106-AC73DF69569F4ECA8EE55B38ACDDBD60;0.0770;Jucurutu
 RN-2406106-523F93DFE49141AC8C5AA9A7D11F0A3E;16765;Jucurutu
 RN-2406106-A425E7CB98BA434EB799A2D2A2EE7091;163678;Jucurutu
 RN-2406106-C3764EF4EB80487B89ADE67B016CF48D;50990;Jucurutu
 RN-2406106-1A966EE8B660419396CEC6E463C8457C;0.1692;Jucurutu
 RN-2406106-1198702E93F24F70B2D6E12ACF6032C9;113739;Jucurutu
 RN-2406106-E0601971CD3341F4AF129491ECB296BC;1116915;Jucurutu
 RN-2406106-B2D1C87DFF164EFBB543B13CAC3F6477;270112;Jucurutu
 RN-2406106-CA89F156A29948D896E164E5986574B9;45152;Jucurutu
 RN-2406106-5C5BFC07A3294EA69CFFC504528A5E93;0.2051;Jucurutu
 RN-2406106-68C19C95642F4122A2CD1EFDA3099491;25392;Jucurutu
 RN-2406106-C2296A26BA1149F4939442F58D7BEF19;71901;Jucurutu
 RN-2406106-1AEE13515507437BB136EA4289D0C4FA;0.4635;Jucurutu
 RN-2406106-8640A20D00E64C27AD849AC085347255;0.6106;Jucurutu
 RN-2406106-1D422F3BFF864475BF16FDBB26DC58A5;10135;Jucurutu
 RN-2406106-8BD097F5F6C04EEB870802DD39C54783;0.4318;Jucurutu
 RN-2406106-D4F2FF83266D43939238CA464A1FCAB1;45126;Jucurutu
 RN-2406106-63F52F93DAC048C18886C6BC397465F4;50841;Jucurutu
 RN-2406106-CDE3A896812C4C238D2090D3E3DE461B;54599;Jucurutu
 RN-2406106-68F03935843A487691D9B2B91954C6D9;0.8024;Jucurutu
 RN-2406106-ECF12A8425C8466C92AE5DD26D1389A1;11198;Jucurutu
 RN-2406106-FBF42975B52F460E94C6EE41F9BE5D8C;10141;Jucurutu
 RN-2406106-0737DC90F9204EC29DC26990CAFE782E;95607;Jucurutu
 RN-2406106-D5A2CC07602C477D99237A3388702804;219145;Jucurutu
 RN-2406106-68D25746E51B43C18E4ECD8269FD3A7A;0.1580;Jucurutu
 RN-2406106-F1147482DC344891993793AD37CDC59C;0.5370;Jucurutu
 RN-2406106-E74B21982ABC4075A0E7B6F143FB5F5E;19121;Jucurutu
 RN-2406106-7177F7E0DCFD4A90AF38F7593EE33EB2;42903;Jucurutu
 RN-2406106-006FAEA810C2439EBD385CC0C5456920;313273;Jucurutu
 RN-2406106-FF947802F6A84E0497678DFFECD0C8BA;0.6754;Jucurutu
 RN-2406106-9ABE659AF66447FEA6140D3E869B05D5;92428;Jucurutu
 RN-2406106-4A9FDDEEA74E47BCBC45DE30559A8FC7;46041;Jucurutu
 RN-2406106-224820AE14C040C08DD350B9957064F8;56448;Jucurutu
 RN-2406106-6B5C74C55EF747B2B61702E220F7EF22;12320;Jucurutu
 RN-2406106-E54AC4BBE98748D6A0325E6BE8643E8C;17402;Jucurutu
 RN-2406106-CB1DE04D772A4A70A00F50D904208911;200859;Jucurutu
 RN-2406106-E807377D388D4E0480220FE22C739C91;10016;Jucurutu
 RN-2406106-039C5C7CF06844C6A5A21F2CE8602B00;162038;Jucurutu
 RN-2406106-013F5E1A1D914F12BB16B482C3BF4A80;24454;Jucurutu
 RN-2406106-0A53C669DEBB41C7A871686F9D2B332D;20250;Jucurutu
 RN-2406106-44196E30DC1444428C4B8A239AC1C356;0.5126;Jucurutu
 RN-2406106-969431B91B9E409D94369182359FE91B;0.6549;Jucurutu
 RN-2406106-7526B9F41CFB4BACB6ABD8C021574D39;96664;Jucurutu
 RN-2406106-E72757DF09694DA68DE9BF21F4019DBD;488955;Jucurutu
 RN-2406106-0BD11FE85C1B471FA042430732952482;16824;Jucurutu
 RN-2406106-031E78FD3BA74ACCB441E80F4656415D;283448;Jucurutu
 RN-2406106-72807FEF6D2448B3B44306AC1B022A2F;643355;Jucurutu
 RN-2406106-B50926A9471F4BBF93919095CA4EEDA5;336038;Jucurutu
 RN-2406106-32FC48D567FD4C0781F8C0DECB510F4F;0.1240;Jucurutu
 RN-2406106-D02FFA6EE41E41F0B43E7EF621A38A5A;0.5227;Jucurutu
 RN-2406106-B206AD0695744CE3AA2090043A2FA179;15314;Jucurutu
 RN-2406106-8C61E3BD1CF04397B4D662AD2E7F364B;0.1388;Jucurutu
 RN-2406106-C38DDC0DC56C418C87B9C1C504136F54;0.8817;Jucurutu
 RN-2406106-44F2A0FEF9264E02BD58445904C233A9;353063;Jucurutu
 RN-2406106-B4D4C36E88214092BF908F09EB1F8703;0.1002;Jucurutu
 RN-2406106-3636106D1E6B45F5A9232D6721EE8329;90172;Jucurutu
 RN-2406106-89056938B7D244CCB297D63E646E3852;66842;Jucurutu
 RN-2406106-2D6A7CA6BCF840509D3649504384FF1F;0.8661;Jucurutu
 RN-2406106-D8E5B49FDD834935A3C4B6C974D6E4E7;0.1871;Jucurutu
 RN-2406106-93F6875F2C314CF0B6E0DA60BFDC4652;18941;Jucurutu
 RN-2406106-D719E0A0CBD74D0B97D01A35B6654DA9;90682;Jucurutu
 RN-2406106-C532329039F9455C8BE33995FED5607C;53339;Jucurutu
 RN-2406106-9DBFE5A911A34DC4A93C31C84F09E4A8;0.7579;Jucurutu
 RN-2406106-C2236E984CAC4EB0913717D25B96BFAF;450734;Jucurutu
 RN-2406106-B04E9A17F87744F69C3FA0F66876C66A;0.0239;Jucurutu
 RN-2406106-0C4BB7B7514B48F8AAEA437B2C7818D0;0.4624;Jucurutu
 RN-2406106-D27466A59FBE4793B9BD9303DED93079;0.1009;Jucurutu
 RN-2406106-B0DC8E13D8134C68BDBB1E0C1337B66D;0.8243;Jucurutu
 RN-2406106-48626227935D4355A5A513819770D15A;133029;Jucurutu
 RN-2406106-65794D6D017D43B0B52225AA98F88DC2;15968;Jucurutu
 RN-2406106-648043A63A3A46C19244C8BB41A85A7C;0.2358;Jucurutu
 RN-2406106-5CB9E7F72B5C4E49B5840EB8E874BDFF;19238;Jucurutu
 RN-2406106-21599842B5E944E2891EF1C0B377935F;10896;Jucurutu
 RN-2406106-CBCDC70B54874B4C811EF82BD4C64D80;0.5154;Jucurutu
 RN-2406106-0B0AD4F49720476CBC399670B9A924C6;39613;Jucurutu
 RN-2406106-A0A42CEF1B684B899B6EE0910907689C;15469;Jucurutu
 RN-2406106-AA61B08B48394D9CBFEEE5B8717A666A;35130;Jucurutu
 RN-2406106-4C9F855C0AA342059DFFBED39B3633A2;0.1525;Jucurutu
 RN-2406106-3B2677DA818641AFBC54950B7C37D57C;58004;Jucurutu
 RN-2406106-6B3077A6A70840928AA1CD1B36BCAEFE;1036681;Jucurutu
 RN-2406106-BF500B6B25814DBBAA9F2249027A9DD1;33320;Jucurutu
 RN-2406106-22A4942C7E724588BB7819FE500AD05B;82795;Jucurutu
 RN-2406106-E7092E6B57944837A01D68A02166A5B1;0.0663;Jucurutu
 RN-2406106-CBDB50C826884A8698E243651975630E;12580;Jucurutu
 RN-2406106-1284C02B02A54FF1B7FD2ABD8044A49F;2610331;Jucurutu
 RN-2406106-A2E871EB897D4C48B89707105F8A9FEA;302004;Jucurutu
 RN-2406106-A56F8E0AD235454EA9ED095BB9887649;23849;Jucurutu
 RN-2406106-AB07D0613E2E421786B0B4D9A3F04CA0;309599;Jucurutu
 RN-2406106-DDE852DAC0B14FA1BDB393AD4D86F694;2384901;Jucurutu
 RN-2406106-5340E198BFCE4A93BB413875154397D0;3116276;Jucurutu
 RN-2406106-C94B1CDE02AD4B34BE74961CAAF0403A;76124;Jucurutu
 RN-2406106-E959ED3E1F0245EA8E767D1E0A502346;1062458;Jucurutu
 RN-2406106-30E9D7E891E746B09A5556E57EDBD393;517002;Jucurutu
 RN-2406106-D538F35E1E0D4FE0BA49F25602017402;72068;Jucurutu
 RN-2406106-ABC13F3889E44779B0DC815FE337B74D;226367;Jucurutu
 RN-2406106-2F35E322491646C9958BAF4DC2381480;0.6848;Jucurutu
 RN-2406106-F7B8BC520D774F60AFDA7C33F10DC0ED;14875;Jucurutu
 RN-2406106-3F8A5F8637884EF29C7278260275C9BB;17149;Jucurutu
 RN-2406106-5FA48950A7E7402988F7312B4CAF8B64;292975;Jucurutu
 RN-2406106-A0A19C25EAEB4B47B68E1616FB5D45A3;10371;Jucurutu
 RN-2406106-79C1503C2E0548B3B8BEA881A6B06E62;206213;Jucurutu
 RN-2406106-ECDAFAE6F4F8499D8CD02F2E83BFB9C2;67764;Jucurutu
 RN-2406106-57D83598852E4A2DB20B5CA90428D3A4;247700;Jucurutu
 RN-2406106-7B4C2BF301374DBCA6DEA637E966FA49;231209;Jucurutu
 RN-2406106-A05E8ABDBCB84E2EA433385546D35401;146437;Jucurutu
 RN-2406106-D4B7C21EE17C4D39A1B9D259288FF72A;60628;Jucurutu
 RN-2406106-3817DA7BCF754B189A2DE16C8AD5004D;177178;Jucurutu
 RN-2406106-FA6CD67710114A928D32E55E1B7DF03F;237855;Jucurutu
 RN-2406106-2DDB9AAE55C4432FB79EDE6196DEE288;48200;Jucurutu
 RN-2406106-27EA3E6CFE6F41A8B21DA33133D3DEA4;62042;Jucurutu
 RN-2406106-0363DD0D286D4DF08355987709F4D62B;213780;Jucurutu
 RN-2406106-241BFB2D8FD046FCBB7C6EF8D695443E;121561;Jucurutu
 RN-2406106-F054EF1AF9AC4F3196CF6E2CDD1C2E16;26374;Jucurutu
 RN-2406106-2E7F98D35A3446FDB019D2BF7F51B1E2;30522;Jucurutu
 RN-2406106-3F6E2E0524E640428FD64658DD66255B;97206;Jucurutu
 RN-2406106-580F79D3169247A991954D4A75550001;368303;Jucurutu
 RN-2406106-3022B70CC7054B9F829AAABC96E4457A;369015;Jucurutu
 RN-2406106-CD4714170C604B02B2C1EC056E09626B;0.9715;Jucurutu
 RN-2406106-E23C2D176D29482F90374AB5DE86F779;13895;Jucurutu
 RN-2406106-26C3F78A296B46F3AD2726C4F78BB83E;692898;Jucurutu
 RN-2406106-29D364144D9B4ACDAC0545DF83A556D3;0.4009;Jucurutu
 RN-2406106-DB387A91557747F6810A4CEDC3B3B683;255895;Jucurutu
 RN-2406106-C38508FC490A48DBA5DF92E315F34C29;4771686;Jucurutu
 RN-2406106-F2373DF1593F4ABBA384BEF4AD04856A;12750;Jucurutu
 RN-2406106-1FD8F9D69B0242C1AEFF5BA67195B6B5;23428;Jucurutu
 RN-2406106-7AED383E7D494B388740225A10ADEF2B;250919;Jucurutu
 RN-2406106-335DD45DD2E141F5BC5B4833278E96DF;0.4795;Jucurutu
 RN-2406106-DF8FC039DDC14BD69A1B044AF313D24F;35573;Jucurutu
 RN-2406106-7EA82FB543884F29B443E73712DDCA97;568493;Jucurutu
 RN-2406106-36E4CD025DF44ADBB548BC31EA9129E4;17934;Jucurutu
 RN-2406106-C6075D8BEED9498899195F43A1019D67;763083;Jucurutu
 RN-2406106-55E4B0F5F9F24F9CB824AE7A9B5EDD8B;0.8849;Jucurutu
 RN-2406106-50B7D56195FB4280A63AE78C46B55D43;0.6484;Jucurutu
 RN-2406106-1DA9509F928C49A88038B0F51AB00CE4;139242;Jucurutu
 RN-2406106-6715F854677F4C8FBC0765BC7ADCD9E9;0.3529;Jucurutu
 RN-2406106-B7FFA39AF8A64AE1B5746C113C1C51DE;0.2910;Jucurutu
 RN-2406106-960F946C88DD413C993B36BF3CD0BA46;0.0852;Jucurutu
 RN-2406106-593C837E7AE94C399539D921DE94A3DA;0.9915;Jucurutu
 RN-2406106-1F2D9042132D40EABD2301B9661A376A;0.2320;Jucurutu
 RN-2406106-196519641F8D4980B27A685DDBC3C07B;0.3398;Jucurutu
 RN-2406106-5CF0F09F03E740A384AFB399BDF2E38A;0.0666;Jucurutu
 RN-2406106-9C2AD413F2024123926159BD5B0148DD;0.1133;Jucurutu
 RN-2406106-AF31095234C64697ABDFB2CBE226A0A9;74855;Jucurutu
 RN-2406106-14266739A94E45FFA474548122EAA197;247426;Jucurutu
 RN-2406106-3063D9C6BBD6406E8BD1FA1550E2A2F0;65846;Jucurutu
 RN-2406106-4EBB585ECFE641C5BEA033CE418945F0;435200;Jucurutu
 RN-2406106-D9F8C49CA2D64DB0BAB267165BB057C2;27458;Jucurutu
 RN-2406106-B7D1DB48E50F4A49A1FFD0D0841162FD;175411;Jucurutu
 RN-2406106-DFE0DDD7AF5A4E78B492CD206EA2E4D5;228964;Jucurutu
 RN-2406106-D60E6A1A4CCB4B3799AF0F0EFEFC8163;56137;Jucurutu
 RN-2406106-73D33937B3D6403F9FFF50F07E56175A;0.1521;Jucurutu
 RN-2406106-FB2B8168436F4C5A8F4F5724F444972E;0.9466;Jucurutu
 RN-2406106-935BDF9C8AC149D9860ED1A45A8D5986;166933;Jucurutu
 RN-2406106-13ABBEE655FB48DD95069092415E7502;0.2544;Jucurutu
 RN-2406106-D96719EE4AEA4E3FBC74FBAB2813843F;161998;Jucurutu
 RN-2406106-F71213473B004934B581F901B93BA141;11497;Jucurutu
 RN-2406106-A5017EA697F54DDDB3D2466E34EBAAC2;34110;Jucurutu
 RN-2406106-DFFE96618C4F4B688D7030CF2CDC2A64;368366;Jucurutu
 RN-2406106-B7FA1048717A48A984941E3A94087044;357589;Jucurutu
 RN-2406106-B2BB089A375946B4894E9CDBE0088FF0;131043;Jucurutu
 RN-2406106-B4F6954499AF435EBC619B0BC1C62C34;0.5015;Jucurutu
 RN-2406106-1C8E6F78795546A69F47D2962D55CE3C;76696;Jucurutu
 RN-2406106-BAC6A588340D4CACB1B728574C1AAF64;793509;Jucurutu
 RN-2406106-657A90CED11347A4BA87A06A6B144D62;37611;Jucurutu
 RN-2406106-6C8D3388187644D1ACC2122BDBC82830;68696;Jucurutu
 RN-2406106-A272229E78BB4784879BAE52157FD4FC;57268;Jucurutu
 RN-2406106-284F1782D29748F0B7EA383F56E9A829;37137;Jucurutu
 RN-2406106-3EAE679B6B064584BFC9D01288434F83;38573;Jucurutu
 RN-2406106-6CA5E27331544ED197BEC88A38B7F278;35110;Jucurutu
 RN-2406106-387566EB2BFA47DCB351961BAB52074D;76602;Jucurutu
 RN-2406106-EE2EEC87FE73432E86226BBBC1527842;23583;Jucurutu
 RN-2406106-7C4A136DC8BA4539A9DE2D70BB259213;30172;Jucurutu
 RN-2406106-A46516EACD3A43AFAF9016EC21C81246;0.3560;Jucurutu
 RN-2406106-523F7516448940C08410745355A79A4B;53669;Jucurutu
 RN-2406106-626608FEF8FB40CA92852126098B5EFD;315814;Jucurutu
 RN-2406106-932191D700954500A6F773BEF8B04DC5;116691;Jucurutu
 RN-2406106-06BADE66922D422CA021923427A2C9F0;23995;Jucurutu
 RN-2406106-1B5F90C07094464E83D4F24C917EF52B;43792;Jucurutu
