car;area;mun
 RN-2402501-BA34113B45964740B4B5D5C2BAC1F72E;7266201;Carnaubais
 RN-2402501-DAB815928C844C38AE3CAE78DDB28322;174334;Carnaubais
 RN-2402501-EC76D88BB5E5444C91B7FE62F5F8D6E3;827099;Carnaubais
 RN-2402501-5BC521B558AE487DAEA2047EA3CE63AE;940351;Carnaubais
 RN-2402501-248AB3B1FE054BEA8AE5290D9599BA50;254204;Carnaubais
 RN-2402501-AEE464CC5E364C9B8594165C1283A9BF;954296;Carnaubais
 RN-2402501-2F16B6BCA5A14511BC86BF124AC30E19;461214;Carnaubais
 RN-2402501-ADA34DFFC2EE46168E50044261E164A6;232599;Carnaubais
 RN-2402501-057582B4797A4BFA83663807BCC6AD14;61361;Carnaubais
 RN-2402501-BDA0F89B33F04DD3898075880976BFF7;9555280;Carnaubais
 RN-2402501-C6DEC1C9580B411F87DCFB08CF89F914;66022;Carnaubais
 RN-2402501-B7E5402D707143E184B79AF6537AC887;91888;Carnaubais
 RN-2402501-751C62DA13FF441F9DDF8CBF3FE33091;230156;Carnaubais
 RN-2402501-43137837490248A7B2D647771EF44631;519578;Carnaubais
 RN-2402501-BE298C0B3DB0452F80D45A9860B8ABA5;229261;Carnaubais
 RN-2402501-3030A86757C04F02B4F90D204DAD97F9;164124;Carnaubais
 RN-2402501-BF59001F21D047BB8BBF4C6FC413E079;471222;Carnaubais
 RN-2402501-65F1F50DEE044840B75B3C531E7BCA59;393211;Carnaubais
 RN-2402501-730B8CBDC81E46B68D80CCC64C7236E3;230957;Carnaubais
 RN-2402501-9D2EAC343C2D4C438BAA06647E078479;394804;Carnaubais
 RN-2402501-221453424C8A4EB9AC39E7F4554C9B1A;42228;Carnaubais
 RN-2402501-2536A0872A4B4922BB125A530B4332FD;261633;Carnaubais
 RN-2402501-130180E915DA4577B06ADC822ECE2FF6;1765012;Carnaubais
 RN-2402501-01B0330E2F454FE8A1AC2AD36EBF22F7;132299;Carnaubais
 RN-2402501-B0336C282ED64550AA5DBF94EB768D76;455961;Carnaubais
 RN-2402501-9C4BF25B48A849E191F44B5CDF61E83E;169724;Carnaubais
 RN-2402501-4EFE2DEE9F524456B50E53AEF33E832A;476790;Carnaubais
 RN-2402501-FA954304B5454694B55A161997AC596E;251286;Carnaubais
 RN-2402501-284F835184D74A428F706DEF9BAD9C21;308075;Carnaubais
 RN-2402501-C8B2F84671134BF4955FDA31BFEE770D;459707;Carnaubais
 RN-2402501-DFF1BB434F464092AEEA97743A224E3B;385311;Carnaubais
 RN-2402501-34C0A54997654F5CB7315BB13A24D2E7;191197;Carnaubais
