car;area;mun
 RN-2410256-BB237FD282AF400F8E35ABE8901088E2;0.7251;Porto do Mangue
 RN-2410256-4B183D1C6B684775831491D7D05F915A;0.2188;Porto do Mangue
 RN-2410256-BFFA8AAB34624F70830BB2D30AA812F4;11157;Porto do Mangue
 RN-2410256-2D9C9F49512A402291DEDE3FAACE33FB;0.0159;Porto do Mangue
 RN-2410256-E3A94389B79A4A5F85B1151666082C36;0.3361;Porto do Mangue
 RN-2410256-F7FC4144B4394B12BA300D478833C068;5741611;Porto do Mangue
 RN-2410256-48B7E7BCFFED4B22B10FB0545C7B8291;51593142;Porto do Mangue
 RN-2410256-9DBBFB63C626426D88F69F6605FFFC8A;88418;Porto do Mangue
 RN-2410256-3BF0E3B635C249CF9C262D014E659549;14851;Porto do Mangue
 RN-2410256-D8F1FA898A1C41DCA634BFA0C9C37DA0;0.5635;Porto do Mangue
 RN-2410256-EFBDFF9E8E2C4FF9BAF99E6C54B0DB6A;12817;Porto do Mangue
 RN-2410256-80FF6FD3F8C442BEB45ECA63EB3EF52C;0.7569;Porto do Mangue
 RN-2410256-BBD7930307714C3EA05FCA7E53AD4720;0.4120;Porto do Mangue
 RN-2410256-8CBFD2CCDBB5470E9B318C734BB91C8F;14367;Porto do Mangue
 RN-2410256-D7110C0C625D4423997535C2C9D1AC33;0.9819;Porto do Mangue
 RN-2410256-5D53F881D0624BC8BEFC0CFBEA5CC7E3;12284;Porto do Mangue
 RN-2410256-5BFE9420AB1A42D7B811B02FEDFC802A;0.5422;Porto do Mangue
 RN-2410256-4297C4B1A8BA45968D1A2B11A773190F;0.2679;Porto do Mangue
 RN-2410256-2AFCEDAE71464EC7AA903D341A359321;0.0826;Porto do Mangue
 RN-2410256-D072B66D43F146E1B12D7CAE1B43FD8F;36717;Porto do Mangue
 RN-2410256-42508013F0DB44ACBC09815D30E91F57;0.2965;Porto do Mangue
 RN-2410256-360D4734432943F981C1CA3E403DCD2A;13966;Porto do Mangue
 RN-2410256-F46E0251B5AD4E7B92D96962C7953DD4;0.1311;Porto do Mangue
 RN-2410256-DA626BA11BD54D8DBA44A6B316A38EB2;0.9647;Porto do Mangue
 RN-2410256-F40A26E6CF9E4135A31B99C11D6300ED;15244514;Porto do Mangue
 RN-2410256-294C5BC6075E4FC3979857F1562E42BB;0.0426;Porto do Mangue
 RN-2410256-D4F4715E6892408BABAC1A44567646F5;29485;Porto do Mangue
