car;area;mun
RN-2400703-EDC69DCEB210421ABD039701B459BFB1;200988;Alto do Rodrigues
RN-2400703-D7267D5EAFC04F739B0E3BDDDF9C35E6;326457;Alto do Rodrigues
RN-2400703-362E65F064A24B7AAF8DA64A38BFB907;159002;Alto do Rodrigues
RN-2400703-D19B0357EDE641B49FE51199827331FB;334108;Alto do Rodrigues
RN-2400703-79AD9EA832524CA3BA910A409C711C5A;686619;Alto do Rodrigues
RN-2400703-1870EA3C22E5438199E5DF48B04327D0;115848;Alto do Rodrigues
RN-2400703-AE28DBCE59434C65939769A6192E780F;56119;Alto do Rodrigues
RN-2400703-E7C4533F50FA4D7DAAE17A66EC349CBC;136961;Alto do Rodrigues
RN-2400703-22043963844E40979A4830D08A6E6BAA;123628;Alto do Rodrigues
RN-2400703-1CF1B5EFBC0A42228F653091D5FD0D2D;81616;Alto do Rodrigues
RN-2400703-7EC9E24D3CC14F848EBB3576A0383DBB;142868;Alto do Rodrigues
RN-2400703-B9B8334AECB54B56802FE3E60D61C0D3;853970;Alto do Rodrigues
RN-2400703-55F604CBFF5945CD9934288A12AF36A7;221521;Alto do Rodrigues
RN-2400703-A183A54A6F904AA5BB31C310C215D313;854520;Alto do Rodrigues
RN-2400703-CB01DBD9BEDA46C4BB2AC4F55D7C0E79;590322;Alto do Rodrigues
RN-2400703-2A93D87C342E49D1A2047ACEB43664CC;504101;Alto do Rodrigues
RN-2400703-245CE01326FE4165AEADB99A1CA05A3D;81610;Alto do Rodrigues
RN-2400703-723167DEBD34476E9536BCBF2CF18CB1;315387;Alto do Rodrigues
RN-2400703-7CF659534EE742C98091870A102C8E4A;307279;Alto do Rodrigues
RN-2400703-8469B75FAFA44910B6F5DCB74AF55B1A;81603;Alto do Rodrigues
RN-2400703-08779514691749CB9874A001EF9E70E1;61759;Alto do Rodrigues
RN-2400703-D0C7DF35FF3C4D1CA4B205D5D7ED3DD3;70618;Alto do Rodrigues
RN-2400703-3E54A64003A34AC5B5C3617DA47BC39D;81949;Alto do Rodrigues
RN-2400703-F3C1BD5895874A65A6ADDC2901F1002B;65684;Alto do Rodrigues
RN-2400703-B92BDC0316FC47EA947782A3F73F206D;375837;Alto do Rodrigues
RN-2400703-13EB9B7A567949148BCBE631F312282E;104695;Alto do Rodrigues
RN-2400703-6E4E12C6829A4421B5E00636A87F5070;0.0209;Alto do Rodrigues
RN-2400703-632626030D1147F09F4A788F24EC476C;116398;Alto do Rodrigues
RN-2400703-C3B77BB402844DBA86BC3B69574BF7C8;0.7179;Alto do Rodrigues
RN-2400703-37FDBE4818304297A8DC13FC46D86F1B;12109;Alto do Rodrigues
RN-2400703-35A9092B93BD4548A8C04E836AAF95B2;194474;Alto do Rodrigues
RN-2400703-046F56165BD34FF09389D8588E3C6ED9;1514827;Alto do Rodrigues
RN-2400703-838DDA58FE614B778CBE017BE1ECD4F9;227506;Alto do Rodrigues
RN-2400703-98CA46F840C84563BCB6F56BFF653E9E;120878;Alto do Rodrigues
RN-2400703-0C3E4F7B30494EEFA90E0BA6EC87854E;81611;Alto do Rodrigues
RN-2400703-047C4B6930444E1BA94F6D99EA0F2B9A;81626;Alto do Rodrigues
RN-2400703-C2CF900A92124C79B7B6021C5010AA0D;345310;Alto do Rodrigues
RN-2400703-9F3C77727DA4415997FCC1D8F3675686;337452;Alto do Rodrigues
RN-2400703-E0444152DA86460FAA0E0FD82124ED87;32835;Alto do Rodrigues
RN-2400703-52580F1176314861ACE5AECBEB7C66DB;88648;Alto do Rodrigues
RN-2400703-1016C336F2944057B9F0152BF0C80316;364153;Alto do Rodrigues
RN-2400703-E7299D6DB936426CB58841B95B2C98B1;91843;Alto do Rodrigues
RN-2400703-2FCA91571FA240EB8EB9E500743E2951;73989;Alto do Rodrigues
RN-2400703-EF6D1FA8EE384E969F2B9F23C1D95E37;292136;Alto do Rodrigues
RN-2400703-7DAF4338E8294DC39B6FC2DEB73DBE9F;14753144;Alto do Rodrigues
RN-2400703-10E5621DB40548E9821C7E95F7E96305;81619;Alto do Rodrigues
RN-2400703-787B863501EB412C8DC4E4956E95DE4E;873783;Alto do Rodrigues
RN-2400703-CBB7E83F2AFC449088266A384D56E3AE;297387;Alto do Rodrigues
RN-2400703-A6D6A62BF01346A780430C7E3EDC8DA2;110452;Alto do Rodrigues
RN-2400703-55536ECCF76A44C4BF2CE384956A57B1;227210;Alto do Rodrigues
RN-2400703-FB408416455A41FAAEC5A254778B4AEE;535512;Alto do Rodrigues
RN-2400703-86524D53A5FC4B1CAEE42E22A6ED9A13;16346;Alto do Rodrigues
RN-2400703-E6953DD0DC2547269B8DB7F5086A6298;89311;Alto do Rodrigues
RN-2400703-6B76FE70ED5B43E8A43A4A9720B1BA06;501981;Alto do Rodrigues
RN-2400703-67B542CC989043FB990818A21F520D82;409961;Alto do Rodrigues
RN-2400703-3CD18AD3402F4A438148F43E99D9F473;1081425;Alto do Rodrigues
RN-2400703-46F5F5C074234B34A378F0678BC1FD2F;0.0316;Alto do Rodrigues
RN-2400703-EE0CE9B4113E4E91AAA6F91FD1ABD693;164820;Alto do Rodrigues
RN-2400703-74B95AEC8D81448C84D6472AA6AAFA60;125471;Alto do Rodrigues
RN-2400703-173FFDDC86534B46A98F276881C905F2;87864;Alto do Rodrigues
RN-2400703-18701AD85FC545D89860923C003F17CF;363353;Alto do Rodrigues
RN-2400703-9D8E690DF7DD43858E8FE08240AE4499;642733;Alto do Rodrigues
RN-2400703-E6D3F53E54E84FA78A8F99158376E18B;303755;Alto do Rodrigues
RN-2400703-2CF921BD038E450B9E4DC7B83FDF91C0;528109;Alto do Rodrigues
RN-2400703-3ADBED928A4C43DC90204CC5B2AD5FD1;61737;Alto do Rodrigues
RN-2400703-AF410007D9FE4B3EB670CA48F85EC6BF;3244688;Alto do Rodrigues
RN-2400703-158B964AD6024B67B89706BDA50BDD3F;271427;Alto do Rodrigues
RN-2400703-364ED7C2BAB048988AF2F3C90325D645;600361;Alto do Rodrigues
RN-2400703-2D0F11EFC1834078A19F65819A7C1FDB;1172098;Alto do Rodrigues
RN-2400703-7D34E135321E4FCAAFC2262DB1F1FF7D;114038;Alto do Rodrigues
RN-2400703-D0D687C6C9E7405A81AED93F17D0AC82;81622;Alto do Rodrigues
